Italian,English
e,And
non,Not
che,that
di,from
la,there
il,the
un,a
a,to
per,for
è,is
in,in
una,a
mi,me
sono,I am
ho,I have
l',L'
si,yes
ha,has
ma,but
lo,the
cosa,What
con,with
no,no
le,the
ti,you
se,self
da,from
i,the
come,how
io,I
ci,there
hai,you have
questo,this
bene,well
qui,here
sei,six
del,of the
tu,you
solo,alone
mio,my
al,to the
me,myself
tutto,everything
c',there
te,you
era,was
della,of the
mia,my
fatto,done
fare,Do
essere,to be
so,I know
quando,when
sì,Yes
ora,Now
lei,she
gli,the
ne,neither
oh,Oh
questa,this
detto,said
ok,ok
va,it goes
perche,why
quello,that
mai,never
alla,at the
o,or
anche,also
stato,state
abbiamo,we have
tutti,all
dei,of the
grazie,thank you
chi,who
sta,is
molto,Very
più,more
voglio,I want
perché,Why
tuo,your
beh,well
sia,is
nel,in the
lui,he
allora,so
posso,I can
piu,more
ehi,hey
prima,Before
tua,your
suo,his
niente,nothing
qualcosa,something
sai,you know
siamo,we are
un',a
cosi,as
davvero,really
ancora,still 
hanno,they have
stai,you are
fa,does
sua,her
così,Like this
casa,home
uno,one
dove,where is it
su,on
vero,real 
vuoi,do you want
noi,we
due,two
quindi,so
dire,to say
d',d '
delle,of the
quella,that
sempre,always
altro,other
sto,this
andare,to go
ad,to
po,bit
loro,They
devo,I have to
quel,that
forse,perhaps
li,there
proprio,own
certo,Certain
tempo,time
nella,in
poi,then
vi,you
credo,I believe
vita,life
cose,what's this
sul,on
quanto,how much
puoi,you can
fuori,out
anni,years
cui,which
andiamo,here we go
dell',of
parte,part
visto,view
qualcuno,someone
all',at
lavoro,work
voi,you
ciao,Hello
dio,God
volta,time
dopo,after
adesso,now
stata,was
uomo,man
padre,father
devi,you have to
bisogno,need
gia,already
amico,friend
ed,and
posto,place
nessuno,nobody
via,Street
cos',so
fai,do
signore,man
meglio,better
cazzo,fuck
dai,come on
dal,from the
vuole,wants
sembra,it seems
giorno,day
ogni,every
modo,way
senza,without
vedere,see
dobbiamo,we have to
signor,Mr
qualche,some
dispiace,sorry
penso,I think
ecco,there
parlare,speak
tra,between
mamma,mom
già,already
sarebbe,would be
dalla,from the
troppo,too much
fosse,is
possiamo,We can
ce,there is
nuovo,new
male,bad